 YYYY DOY   AU     ELAT   ELON    HG_LAT  HG_LON  HGI_LON
 2016 163  1.015  -0.00  260.49    0.57  297.02  184.46
 2016 164  1.015  -0.00  261.45    0.69  283.84  185.40
 2016 165  1.016  -0.00  262.40    0.81  270.60  186.35
 2016 166  1.016  -0.00  263.36    0.92  257.36  187.30
 2016 167  1.016  -0.00  264.31    1.04  244.12  188.25
 2016 168  1.016  -0.00  265.27    1.16  230.88  189.20
 2016 169  1.016  -0.00  266.22    1.28  217.64  190.14
 2016 170  1.016  -0.00  267.18    1.40  204.40  191.09
 2016 171  1.016  -0.00  268.13    1.52  191.16  192.04
 2016 172  1.016  -0.00  269.09    1.63  177.92  192.99
 2016 173  1.016  -0.00  270.04    1.75  164.68  193.93
 2016 174  1.016  -0.00  270.99    1.87  151.44  194.88
 2016 175  1.016  -0.00  271.95    1.98  138.20  195.83
 2016 176  1.016  -0.00  272.90    2.10  124.96  196.77
 2016 177  1.016  -0.00  273.86    2.21  111.72  197.72
 2016 178  1.017  -0.00  274.81    2.33   98.48  198.67
 2016 179  1.017  -0.00  275.76    2.44   85.24  199.62
 2016 180  1.017  -0.00  276.72    2.55   72.00  200.57
 2016 181  1.017  -0.00  277.67    2.67   58.76  201.51
 2016 182  1.017  -0.00  278.62    2.78   45.52  202.46
 2016 183  1.017  -0.00  279.58    2.89   32.28  203.41
 2016 184  1.017  -0.00  280.53    3.00   19.11  204.36
 2016 185  1.017  -0.00  281.48    3.11    5.87  205.31
 2016 186  1.017  -0.00  282.44    3.22  352.63  206.25
 2016 187  1.017  -0.00  283.39    3.32  339.39  207.20
 2016 188  1.017  -0.00  284.34    3.43  326.15  208.15
 2016 189  1.017  -0.00  285.30    3.53  312.91  209.10
 2016 190  1.017  -0.00  286.25    3.64  299.68  210.05
 2016 191  1.017  -0.00  287.20    3.74  286.44  211.00
 2016 192  1.017  -0.00  288.16    3.85  273.20  211.95
 2016 193  1.017  -0.00  289.11    3.95  259.96  212.90
 2016 194  1.017  -0.00  290.06    4.05  246.73  213.85
 2016 195  1.017  -0.00  291.02    4.15  233.49  214.80
 2016 196  1.017  -0.00  291.97    4.24  220.25  215.75
 2016 197  1.016  -0.00  292.93    4.34  207.02  216.71
 2016 198  1.016  -0.00  293.88    4.44  193.78  217.66
 2016 199  1.016  -0.00  294.83    4.53  180.55  218.61
 2016 200  1.016  -0.00  295.79    4.62  167.31  219.56
 2016 201  1.016  -0.00  296.74    4.72  154.08  220.51
 2016 202  1.016  -0.00  297.70    4.81  140.84  221.47
 2016 203  1.016  -0.00  298.65    4.90  127.61  222.42
 2016 204  1.016  -0.00  299.61    4.99  114.44  223.38
 2016 205  1.016  -0.00  300.56    5.07  101.21  224.33
 2016 206  1.016  -0.00  301.52    5.16   87.97  225.29
 2016 207  1.016  -0.00  302.47    5.24   74.74  226.24
 2016 208  1.016  -0.00  303.43    5.32   61.51  227.20
 2016 209  1.016  -0.00  304.38    5.40   48.28  228.15
 2016 210  1.015  -0.00  305.34    5.48   35.05  229.11
 2016 211  1.015  -0.00  306.29    5.56   21.82  230.07
 2016 212  1.015  -0.00  307.25    5.64    8.59  231.02
 2016 213  1.015  -0.00  308.21    5.71  355.36  231.98
 2016 214  1.015  -0.00  309.16    5.79  342.13  232.94
 2016 215  1.015  -0.00  310.12    5.86  328.90  233.90
 2016 216  1.015  -0.00  311.08    5.93  315.67  234.86
 2016 217  1.015  -0.00  312.03    6.00  302.44  235.82
 2016 218  1.014  -0.00  312.99    6.07  289.22  236.78
 2016 219  1.014  -0.00  313.95    6.13  275.99  237.74
 2016 220  1.014  -0.00  314.91    6.19  262.76  238.70
 2016 221  1.014  -0.00  315.86    6.26  249.54  239.66
 2016 222  1.014  -0.00  316.82    6.32  236.31  240.63
 2016 223  1.014  -0.00  317.78    6.37  223.09  241.59
 2016 224  1.013  -0.00  318.74    6.43  209.93  242.55
 2016 225  1.013  -0.00  319.70    6.49  196.70  243.52
 2016 226  1.013  -0.00  320.66    6.54  183.48  244.48
 2016 227  1.013  -0.00  321.62    6.59  170.26  245.45
 2016 228  1.013  -0.00  322.58    6.64  157.04  246.41
 2016 229  1.013  -0.00  323.54    6.69  143.82  247.38
 2016 230  1.012  -0.00  324.50    6.73  130.60  248.35
 2016 231  1.012  -0.00  325.47    6.78  117.38  249.31
 2016 232  1.012  -0.00  326.43    6.82  104.16  250.28
 2016 233  1.012  -0.00  327.39    6.86   90.94  251.25
 2016 234  1.012  -0.00  328.35    6.90   77.72  252.22
 2016 235  1.011  -0.00  329.32    6.93   64.50  253.19
 2016 236  1.011  -0.00  330.28    6.97   51.28  254.16
 2016 237  1.011  -0.00  331.24    7.00   38.07  255.13
 2016 238  1.011  -0.00  332.21    7.03   24.85  256.10
 2016 239  1.011  -0.00  333.17    7.06   11.63  257.07
 2016 240  1.010  -0.00  334.14    7.08  358.42  258.04
 2016 241  1.010  -0.00  335.10    7.11  345.20  259.02
 2016 242  1.010  -0.00  336.07    7.13  331.99  259.99
 2016 243  1.010  -0.00  337.04    7.15  318.78  260.96
 2016 244  1.009  -0.00  338.00    7.17  305.56  261.94
 2016 245  1.009  -0.00  338.97    7.18  292.41  262.91
 2016 246  1.009  -0.00  339.94    7.20  279.20  263.89
 2016 247  1.009  -0.00  340.91    7.21  265.99  264.86
 2016 248  1.008  -0.00  341.88    7.22  252.78  265.84
 2016 249  1.008  -0.00  342.84    7.23  239.57  266.82
 2016 250  1.008  -0.00  343.81    7.23  226.36  267.80
 2016 251  1.008  -0.00  344.78    7.24  213.15  268.77
 2016 252  1.007  -0.00  345.76    7.24  199.94  269.75
 2016 253  1.007  -0.00  346.73    7.24  186.73  270.73
 2016 254  1.007  -0.00  347.70    7.24  173.52  271.71
 2016 255  1.007  -0.00  348.67    7.23  160.32  272.69
 2016 256  1.006  -0.00  349.64    7.22  147.11  273.67
 2016 257  1.006  -0.00  350.62    7.21  133.90  274.65
 2016 258  1.006  -0.00  351.59    7.20  120.70  275.63
 2016 259  1.006  -0.00  352.56    7.19  107.49  276.61
 2016 260  1.005  -0.00  353.54    7.18   94.28  277.60
 2016 261  1.005  -0.00  354.51    7.16   81.08  278.58
 2016 262  1.005  -0.00  355.49    7.14   67.88  279.56
 2016 263  1.005  -0.00  356.47    7.12   54.67  280.55
 2016 264  1.004  -0.00  357.44    7.09   41.47  281.53
 2016 265  1.004  -0.00  358.42    7.07   28.33  282.52
 2016 266  1.004  -0.00  359.40    7.04   15.13  283.50
 2016 267  1.003  -0.00  360.38    7.01    1.92  284.49
 2016 268  1.003   0.00    1.36    6.98  348.72  285.47
 2016 269  1.003   0.00    2.34    6.94  335.52  286.46
 2016 270  1.003   0.00    3.32    6.91  322.32  287.44
 2016 271  1.002   0.00    4.30    6.87  309.12  288.43
 2016 272  1.002   0.00    5.28    6.83  295.92  289.42
 2016 273  1.002   0.00    6.26    6.79  282.72  290.41
 2016 274  1.001   0.00    7.24    6.74  269.52  291.40
 2016 275  1.001   0.00    8.23    6.70  256.32  292.38
 2016 276  1.001   0.00    9.21    6.65  243.12  293.37
 2016 277  1.001   0.00   10.19    6.60  229.93  294.36
 2016 278  1.000   0.00   11.18    6.55  216.73  295.35
 2016 279  1.000   0.00   12.16    6.49  203.53  296.34
 2016 280  1.000   0.00   13.15    6.44  190.33  297.33
 2016 281  0.999   0.00   14.13    6.38  177.14  298.32
